Date,XLY Adjusted Close,XLE Adjusted Close,XLF Adjusted Close,XLI Adjusted Close,XLB Adjusted Close,FRESX Adjusted Close,XLK Adjusted Close,XLU Adjusted Close,SP500 Adjusted Close,Date_CPI,CPI_EOM
2006-08-31,28.025,45.472,21.492,25.668,24.797,23.343,17.918,23.334,1303.82,,
2006-08-30,27.94,45.79,21.466,25.612,24.681,23.356,17.985,23.1,1305.37,,
2006-08-29,27.923,46.574,21.402,25.588,24.673,23.184,17.859,23.22,1304.28,,
2006-08-28,27.719,46.868,21.492,25.525,24.571,23.152,17.698,23.2,1301.78,,
2006-08-25,27.446,47.555,21.338,25.421,24.595,22.897,17.537,23.026,1295.09,,
2006-08-24,27.446,47.187,21.453,25.413,24.517,22.973,17.487,23.026,1296.06,,
2006-08-23,27.591,46.583,21.383,25.549,24.712,22.846,17.419,22.932,1292.99,,
2006-08-22,27.838,47.579,21.447,25.74,24.751,23.031,17.503,23.173,1298.82,,
2006-08-21,27.864,47.26,21.453,25.66,24.681,22.852,17.495,23.093,1297.52,,
2006-08-18,28.17,46.95,21.537,25.891,24.681,22.801,17.613,23.046,1302.3,,
2006-08-17,28.178,46.231,21.505,25.954,24.681,22.757,17.546,22.791,1297.48,,
2006-08-16,28.008,46.558,21.434,25.923,24.836,22.77,17.47,22.818,1295.43,,
2006-08-15,27.727,46.754,21.318,25.358,24.408,22.668,17.199,23.032,1285.58,,
2006-08-14,27.344,46.517,20.965,24.904,23.901,22.394,16.81,22.885,1268.21,,
2006-08-11,27.268,47.497,20.939,24.856,23.964,22.152,16.666,22.73,1266.74,,
2006-08-10,27.276,47.473,21.004,24.999,24.236,22.337,16.759,22.784,1271.81,,
2006-08-09,26.91,47.865,20.901,24.8,24.174,22.362,16.692,22.818,1265.95,,
2006-08-08,27.285,47.465,21.151,25.19,24.151,22.426,16.59,22.811,1271.48,,
2006-08-07,27.566,47.742,21.305,25.413,24.408,22.808,16.649,22.596,1275.77,,
2006-08-04,27.625,47.244,21.35,25.517,24.291,23.043,16.709,22.865,1279.36,,
2006-08-03,27.617,47.644,21.305,25.588,24.408,22.68,16.759,22.858,1280.27,,
2006-08-02,27.446,48.061,21.216,25.381,24.26,22.521,16.709,22.972,1277.41,,
2006-08-01,27.225,47.963,21.177,25.222,23.878,22.521,16.506,22.992,1270.92,,
2006-07-31,27.48,47.906,21.241,25.381,24.073,22.585,16.742,22.71,1276.66,,
2006-07-28,27.463,47.187,21.273,25.485,23.972,22.725,16.768,22.811,1278.55,,
2006-07-27,27.131,47.171,20.901,25.198,23.543,22.362,16.48,22.657,1263.2,,
2006-07-26,27.191,47.579,21.023,25.246,24.073,22.528,16.531,22.838,1268.4,,
2006-07-25,27.506,46.64,21.049,25.572,24.127,22.464,16.489,22.757,1268.88,,
2006-07-24,27.259,45.839,20.997,25.644,23.761,22.375,16.311,22.663,1260.91,,
2006-07-21,26.68,44.5,20.728,25.23,23.411,21.999,16.066,22.455,1240.29,,
2006-07-20,26.927,45.112,20.843,25.485,23.722,22.368,16.235,22.402,1249.13,,
2006-07-19,27.285,46.231,20.927,26.018,24.4,22.566,16.472,22.348,1259.81,,
2006-07-18,26.748,45.758,20.387,25.501,23.761,22.126,16.235,22.012,1236.86,,
2006-07-17,26.91,45.7,20.342,25.381,23.66,21.948,16.201,21.979,1234.49,,
2006-07-14,26.723,47.228,20.304,25.469,23.979,21.954,16.151,21.918,1236.2,,
2006-07-13,27.072,46.681,20.387,25.835,23.94,22.266,16.193,21.918,1242.28,,
2006-07-12,27.574,47.13,20.715,26.352,24.634,22.61,16.463,21.999,1258.6,,
2006-07-11,28.017,47.293,20.92,26.623,24.813,22.572,16.768,22.106,1272.43,,
2006-07-10,28.042,46.444,20.914,26.551,24.844,22.547,16.7,21.939,1267.34,,
2006-07-07,28.008,46.305,20.773,26.48,24.782,22.317,16.895,21.818,1265.48,,
2006-07-06,28.221,46.942,20.875,26.878,24.977,22.496,17.064,21.65,1274.08,,
2006-07-05,28.204,47.064,20.811,26.806,25,22.47,17.047,21.764,1270.91,,
2006-07-03,28.468,46.852,21.01,27.005,25.304,22.508,17.317,21.912,1280.19,,
2006-06-30,28.425,46.354,20.766,26.91,25.008,22.177,17.191,21.67,1270.2,,
2006-06-29,28.408,46.199,20.824,26.918,24.891,21.948,17.284,21.59,1272.87,,
2006-06-28,27.804,44.924,20.394,26.36,23.933,21.458,16.852,21.314,1246,,
2006-06-27,27.778,44.165,20.285,26.281,23.87,21.324,16.742,21.254,1239.2,,
2006-06-26,28.136,44.083,20.484,26.528,24.174,21.419,16.971,21.335,1250.56,,
2006-06-23,27.991,43.601,20.304,26.456,24.104,21.216,16.937,21.247,1244.5,,
2006-06-22,28.017,42.654,20.439,26.384,23.901,21.286,16.988,21.214,1245.6,,
2006-06-21,28.238,42.474,20.516,26.543,24.026,21.426,17.191,21.288,1252.2,,
2006-06-20,27.966,41.543,20.349,26.233,23.457,21.203,16.971,21.308,1240.12,,
2006-06-19,28.068,41.739,20.291,26.265,23.356,21.33,16.996,21.254,1240.13,,
2006-06-16,28.221,43.372,20.432,26.472,23.831,21.445,17.072,21.549,1251.54,,
2006-06-15,28.288,43.489,20.563,26.476,23.974,21.483,17.098,21.563,1256.16,,
2006-06-14,27.685,41.894,20.116,25.888,23.2,21.069,16.675,21.237,1230.04,,
2006-06-13,27.558,40.844,20.237,25.666,22.898,21.203,16.565,21.397,1223.69,,
2006-06-12,27.779,42.09,20.639,25.745,23.293,21.509,16.548,21.657,1237.44,,
2006-06-09,28.152,42.968,20.869,26.071,23.664,21.827,16.861,21.61,1252.3,,
2006-06-08,28.22,43.408,20.939,26.293,23.788,21.649,16.928,21.43,1257.93,,
2006-06-07,28.263,42.806,20.901,26.277,23.866,21.795,17.013,21.357,1256.15,,
2006-06-06,28.254,44.515,20.831,26.571,24.423,21.757,17.25,21.437,1263.85,,
2006-06-05,28.399,44.555,20.882,26.674,24.632,21.967,17.25,21.397,1265.29,,
2006-06-02,28.857,46.004,21.226,27.262,25.39,21.782,17.512,21.657,1288.22,,
2006-06-01,28.917,45.328,21.105,27.222,25.15,21.566,17.571,21.397,1285.71,,
2006-05-31,28.475,45.206,20.863,26.944,24.879,21.146,17.275,21.184,1270.09,,
2006-05-30,28.169,44.132,20.716,26.754,24.601,21.121,17.208,20.838,1259.87,,
2006-05-26,28.603,44.84,21.029,27.103,25.197,21.324,17.554,21.051,1280.16,,
2006-05-25,28.509,44.694,20.856,26.952,24.779,21.127,17.47,20.825,1272.88,,
2006-05-24,28.237,43.18,20.671,26.77,24.361,20.644,17.309,20.632,1258.57,,
2006-05-23,28.195,43.717,20.658,26.841,24.469,20.606,17.14,20.558,1256.58,,
2006-05-22,28.407,43.709,20.76,26.968,24.415,20.765,17.267,20.851,1262.07,,
2006-05-19,28.611,43.961,20.812,27.024,24.957,20.886,17.419,20.692,1267.03,,
2006-05-18,28.416,43.676,20.703,26.936,24.856,20.886,17.292,20.518,1261.81,,
2006-05-17,28.433,44.214,20.888,27.159,25.119,21.025,17.351,20.525,1270.32,,
2006-05-16,28.832,45.369,21.316,27.73,25.816,21.445,17.588,20.845,1292.08,,
2006-05-15,29.036,45.206,21.341,27.738,25.808,21.566,17.757,20.938,1294.5,,
